AssertionError: ('Bad return', ('profile', 0, 'main()'))
         379218 function calls (361640 primitive calls) in 0.373 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      101    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      100    0.000    0.000    0.003    0.000 typing.py:1147(copy_with)
       99    0.000    0.000    0.000    0.000 dataclasses.py:824(_set_new_attribute)
       97    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
       97    0.000    0.000    0.003    0.000 abc.py:105(__new__)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       96    0.000    0.000    0.000    0.000 typing.py:219(<listcomp>)
       95    0.000    0.000    0.001    0.000 typing.py:253(_deduplicate)
       94    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
       94    0.000    0.000    0.001    0.000 typing.py:1234(<genexpr>)
       93    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
       91    0.000    0.000    0.001    0.000 typing.py:267(_remove_dups_flatten)
       91    0.001    0.000    0.007    0.000 typing.py:483(Union)
       86    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       86    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       86    0.000    0.000    0.000    0.000 re.py:269(escape)
       86    0.000    0.000    0.001    0.000 sre_parse.py:268(getuntil)
       85    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       85    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       85    0.000    0.000    0.001    0.000 css_parser.py:759(parse_combinator)
       84    0.000    0.000    0.008    0.000 dataclasses.py:412(_create_fn)
       83    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       82    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       82    0.000    0.000    0.000    0.000 dataclasses.py:645(_is_classvar)
       82    0.000    0.000    0.000    0.000 dataclasses.py:653(_is_initvar)
       82    0.000    0.000    0.000    0.000 dataclasses.py:659(_is_kw_only)
       82    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
       78    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
       77    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       77    0.001    0.000    0.006    0.000 css_parser.py:450(parse_attribute_selector)
       77    0.000    0.000    0.001    0.000 css_types.py:228(__init__)
       77    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
       76    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       74    0.000    0.000    0.000    0.000 typing.py:1330(<genexpr>)
       72    0.000    0.000    0.000    0.000 dataclasses.py:395(<genexpr>)
       72    0.000    0.000    0.000    0.000 dataclasses.py:1098(<genexpr>)
    72/47    0.000    0.000    0.124    0.003 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       70    0.000    0.000    0.001    0.000 css_parser.py:520(parse_tag_pattern)
       70    0.000    0.000    0.000    0.000 css_types.py:214(__init__)
       68    0.000    0.000    0.000    0.000 enum.py:245(<genexpr>)
       66    0.000    0.000    0.004    0.000 typing.py:1138(__getitem__)
       62    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       62    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       62    0.000    0.000    0.000    0.000 _status_codes.py:26(__new__)
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
       61    0.000    0.000    0.000    0.000 dammit.py:166(<listcomp>)
       61    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
       61    0.000    0.000    0.001    0.000 enum.py:579(_get_mixins_)
       60    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       58    0.000    0.000    0.000    0.000 typing_extensions.py:150(_check_generic)
       57    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
    56/49    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       53    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       52    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
       52    0.000    0.000    0.001    0.000 typing.py:664(__init__)
       50    0.000    0.000    0.000    0.000 typing.py:1342(<genexpr>)
       49    0.000    0.000    0.000    0.000 dataclasses.py:286(__init__)
       49    0.000    0.000    0.000    0.000 dataclasses.py:367(field)
