('Total Revenue', '227,583,000', '211,915,000', '198,270,000', '168,088,000', '143,015,000')
         541098 function calls (522232 primitive calls) in 1.950 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2390    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
     1220    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
  186/185    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      321    0.000    0.000    0.001    0.000 enum.py:44(_is_private)
      477    0.000    0.000    0.001    0.000 enum.py:678(__new__)
       77    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      308    0.000    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 langturkishmodel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 langthaimodel.py:1(<module>)
      611    0.000    0.000    0.003    0.000 typing.py:935(_is_dunder)
      740    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     2742    0.000    0.000    0.000    0.000 element.py:1586(__bool__)
      183    0.000    0.000    0.001    0.000 sre_parse.py:225(__init__)
      383    0.000    0.000    0.000    0.000 __init__.py:523(string_container)
      235    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:169(__enter__)
     2314    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 base64.py:1(<module>)
      765    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      664    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
      232    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      729    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
      911    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       46    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      216    0.000    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      178    0.000    0.000    0.001    0.000 sre_parse.py:85(opengroup)
  137/132    0.000    0.000    0.003    0.000 css_parser.py:383(freeze)
  608/550    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      267    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      104    0.000    0.000    0.015    0.000 response.py:431(_decode)
       76    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
     1171    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      664    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
    265/3    0.000    0.000    0.391    0.130 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       49    0.000    0.000    0.001    0.000 enum.py:980(__or__)
      138    0.000    0.000    0.566    0.004 client.py:624(_safe_read)
      766    0.000    0.000    0.000    0.000 socket.py:730(readable)
      386    0.000    0.000    0.001    0.000 _htmlparser.py:178(handle_data)
