AssertionError: ('Bad return', ('profile', 0, 'main()'))
         379140 function calls (361575 primitive calls) in 0.334 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1609    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       37    0.000    0.000    0.002    0.000 typing.py:1323(__class_getitem__)
      662    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      742    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
      998    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       61    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
       27    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
     1706    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
    72/47    0.000    0.000    0.124    0.003 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      190    0.000    0.000    0.001    0.000 css_types.py:303(__init__)
      366    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
      268    0.000    0.000    0.001    0.000 css_parser.py:332(match)
      737    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      100    0.000    0.000    0.003    0.000 typing.py:1147(copy_with)
       13    0.000    0.000    0.005    0.000 enum.py:483(_create_)
       95    0.000    0.000    0.000    0.000 typing.py:253(_deduplicate)
      293    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
       97    0.000    0.000    0.003    0.000 abc.py:105(__new__)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
   127/97    0.000    0.000    0.007    0.000 typing.py:401(__getitem__)
      173    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
     1089    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      184    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      304    0.000    0.000    0.000    0.000 typing.py:1242(__eq__)
      254    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      250    0.000    0.000    0.132    0.001 re.py:249(compile)
      295    0.000    0.000    0.001    0.000 css_parser.py:236(css_unescape)
      319    0.000    0.000    0.002    0.000 typing.py:515(<genexpr>)
       70    0.000    0.000    0.001    0.000 css_parser.py:520(parse_tag_pattern)
      189    0.000    0.000    0.008    0.000 sre_parse.py:97(closegroup)
     13/7    0.000    0.000    0.001    0.000 inspect.py:2375(_signature_from_callable)
      661    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      489    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.002    0.002 typing_extensions.py:1(<module>)
      270    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      275    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      288    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
      249    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
        2    0.000    0.000    0.001    0.000 http_proxy.py:1(<module>)
        1    0.000    0.000    0.005    0.005 socket.py:1(<module>)
      157    0.000    0.000    0.000    0.000 types.py:176(__get__)
        1    0.000    0.000    0.000    0.000 pathlib.py:540(PurePath)
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      239    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
       85    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      270    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      323    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
       77    0.000    0.000    0.001    0.000 css_types.py:228(__init__)
      101    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.038    0.038 dammit.py:67(EntitySubstitution)
       13    0.000    0.000    0.000    0.000 inspect.py:2920(__init__)
      316    0.000    0.000    0.005    0.000 {built-in method builtins.next}
        2    0.000    0.000    0.010    0.005 _sockets.py:1(<module>)
       34    0.000    0.000    0.002    0.000 typing.py:1223(__getitem__)
        1    0.000    0.000    0.005    0.005 _types.py:1(<module>)
      652    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       16    0.000    0.000    0.002    0.000 dataclasses.py:527(_init_fn)
        1    0.000    0.000    0.000    0.000 connection.py:36(HTTPConnection)
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
        7    0.000    0.000    0.000    0.000 inspect.py:2280(_signature_from_function)
       22    0.000    0.000    0.000    0.000 abc.py:146(update_abstractmethods)
        2    0.000    0.000    0.058    0.029 connection.py:1(<module>)
       24    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
