('Total Revenue', '227,583,000', '211,915,000', '198,270,000', '168,088,000', '143,015,000')
         540742 function calls (521915 primitive calls) in 1.675 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      725    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
     1332    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      190    0.000    0.000    0.001    0.000 css_types.py:303(__init__)
      325    0.000    0.000    0.162    0.000 re.py:249(compile)
     1311    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        3    0.000    0.000    0.016    0.005 utils.py:1(<module>)
       78    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
      268    0.000    0.000    0.001    0.000 css_parser.py:332(match)
      205    0.000    0.000    0.001    0.000 typing.py:137(_type_convert)
      184    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       29    0.000    0.000    0.002    0.000 typing.py:483(Union)
      366    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
     1630    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      321    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
    73/33    0.000    0.000    0.166    0.005 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       97    0.000    0.000    0.367    0.004 models.py:812(generate)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
    82/39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       98    0.000    0.000    0.008    0.000 response.py:994(_update_chunk_length)
       11    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
      264    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      295    0.000    0.000    0.000    0.000 css_parser.py:236(css_unescape)
      472    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      575    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.040    0.040 dammit.py:67(EntitySubstitution)
      235    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
       70    0.000    0.000    0.001    0.000 css_parser.py:520(parse_tag_pattern)
      221    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       45    0.000    0.000    0.003    0.000 css_parser.py:997(<listcomp>)
      571    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      232    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
       48    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      178    0.000    0.000    0.007    0.000 sre_parse.py:97(closegroup)
      232    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
       93    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
       10    0.000    0.000    0.004    0.000 enum.py:483(_create_)
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      265    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      386    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1606(_ip_int_from_string)
       28    0.000    0.000    0.001    0.000 typing.py:1138(__getitem__)
       97    0.000    0.000    0.366    0.004 response.py:912(stream)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
        1    0.000    0.000    1.349    1.349 financial.py:7(fetch_financial_data)
      547    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       29    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
      575    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      328    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
    35/27    0.000    0.000    0.013    0.000 css_parser.py:557(parse_pseudo_class)
      325    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
      329    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       53    0.000    0.000    0.001    0.000 typing.py:664(__init__)
    30/13    0.000    0.000    0.209    0.016 {built-in method builtins.__import__}
       77    0.000    0.000    0.001    0.000 css_types.py:228(__init__)
        1    0.000    0.000    1.350    1.350 financial.py:28(main)
      945    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.009    0.009 ssl.py:1(<module>)
        1    0.000    0.000    0.005    0.005 socket.py:1(<module>)
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
